1,C,S,O,1,2,1,1,2,1,2,0
2,D,S,O,1,3,1,1,2,1,2,0
3,C,S,O,1,3,1,1,2,1,1,0
4,D,S,O,1,3,1,1,2,1,2,0
5,D,A,O,1,3,1,1,2,1,2,0
6,D,A,O,1,2,1,1,2,1,2,0
7,D,A,O,1,2,1,1,2,1,1,0
8,D,A,O,1,2,1,1,2,1,2,0
9,D,K,O,1,3,1,1,2,1,2,0
10,C,R,O,1,3,1,1,2,1,1,0
11,B,X,O,1,3,1,1,2,1,1,0
12,D,S,O,1,2,1,1,2,1,1,0
13,C,H,I,1,3,1,1,2,1,2,0
14,D,R,O,1,3,1,1,2,1,1,0
15,B,X,O,1,2,1,1,2,1,1,0
16,B,X,O,1,3,1,1,2,1,1,0
17,D,K,I,1,3,1,1,2,1,2,0
18,D,S,O,1,2,1,1,2,1,2,0
19,D,R,O,1,2,1,1,2,1,1,0
20,C,A,I,1,2,1,1,2,1,2,0
21,C,S,O,1,2,1,1,2,1,1,0
22,B,X,O,1,3,1,1,2,1,1,0
23,F,K,I,1,3,1,2,2,1,2,0
24,B,X,O,1,2,1,1,2,1,1,0
25,H,R,X,1,2,1,1,1,1,2,0
26,B,X,I,1,3,1,1,2,1,1,0
27,C,R,I,1,3,1,1,2,1,2,0
28,B,X,O,1,3,1,1,2,1,1,0
29,B,X,O,1,3,1,1,2,1,2,0
30,D,A,I,1,3,1,2,2,1,2,0
31,D,A,O,1,3,1,1,2,1,2,1
32,B,X,O,1,3,1,1,2,1,1,0
33,D,A,I,1,3,1,1,2,1,2,0
34,B,X,O,1,3,1,1,2,1,2,0
35,D,R,O,1,3,1,1,2,1,2,0
36,D,A,O,1,2,1,1,2,1,1,0
37,C,A,I,1,3,1,1,2,1,1,0
38,D,A,I,1,2,1,2,2,1,1,1
39,D,A,I,2,2,3,1,2,1,2,0
40,D,A,I,1,2,1,2,2,1,2,0
41,B,X,O,1,3,1,1,2,1,1,0
42,D,R,O,1,1,1,1,2,1,1,0
43,D,A,I,1,2,1,1,2,1,1,0
44,D,S,O,1,1,1,1,2,1,1,0
45,D,S,I,1,3,1,1,2,1,1,0
46,D,A,I,1,3,1,2,2,1,2,1
47,D,A,I,2,3,1,2,2,1,1,0
48,D,A,I,1,2,1,2,2,1,1,0
49,B,X,O,1,2,1,1,2,1,1,0
50,D,S,O,1,3,1,2,2,1,2,0
51,D,S,O,1,3,1,1,2,1,1,0
52,B,X,O,1,3,1,1,2,1,1,0
53,D,A,O,1,3,1,2,2,1,2,0
54,D,K,C,2,3,1,2,2,1,2,1
55,D,A,I,1,3,1,2,2,1,2,0
56,B,X,O,1,3,1,1,2,1,1,0
57,D,A,O,1,3,1,2,2,1,2,0
58,D,S,I,1,3,1,1,2,1,1,0
59,D,K,C,1,2,1,1,2,1,2,0
60,D,A,I,1,2,1,1,2,1,2,0
61,B,X,O,1,3,1,1,2,1,1,0
62,D,S,O,1,2,1,2,2,1,2,0
63,D,K,C,2,3,3,2,2,1,2,1
64,E,K,I,2,3,1,2,2,1,2,0
65,D,S,I,1,3,1,2,2,1,2,1
66,C,S,O,1,2,1,2,2,1,2,0
67,D,S,I,1,3,1,2,2,1,2,0
68,H,H,X,1,2,1,2,2,1,1,1
69,D,S,I,1,3,1,2,2,1,2,0
70,B,X,O,1,3,1,1,2,1,1,0
71,B,X,O,1,3,1,1,2,1,1,0
72,C,R,O,1,3,1,1,2,1,1,0
73,H,S,X,1,2,1,1,1,1,2,0
74,D,A,O,1,2,1,2,2,1,2,0
75,D,K,C,2,2,3,2,2,1,2,0
76,D,K,I,1,3,1,2,2,1,2,1
77,D,S,I,1,2,1,2,2,1,1,1
78,C,A,O,1,2,1,2,2,1,2,0
79,D,S,O,1,1,1,2,2,1,2,0
80,H,S,X,1,3,1,2,2,1,2,0
81,D,K,I,1,3,1,2,2,1,2,0
82,H,R,X,1,2,1,1,2,1,2,0
83,B,X,O,1,2,1,1,2,1,1,0
84,H,S,X,1,3,1,1,1,1,2,0
85,C,S,O,1,1,1,2,2,1,2,0
86,D,K,C,2,2,3,2,2,1,2,0
87,D,A,I,1,2,1,2,2,1,2,0
88,C,S,O,2,2,1,2,2,1,1,0
89,C,S,O,1,2,1,2,2,1,2,0
90,C,S,O,1,2,1,2,2,1,2,0
91,C,S,O,2,3,1,2,2,1,2,0
92,D,K,I,1,3,1,2,2,1,2,1
93,H,R,X,1,2,1,1,2,1,2,0
94,H,S,X,1,3,1,1,1,1,2,0
95,C,S,O,1,2,1,1,2,1,2,1
96,C,K,O,1,2,3,2,2,1,2,0
97,C,S,O,1,1,3,2,2,1,2,0
98,C,S,O,1,1,1,2,2,1,2,0
99,C,K,I,1,3,1,2,2,1,2,0
100,E,A,C,1,3,1,2,2,1,2,0
101,H,R,X,1,2,1,1,2,1,2,0
102,H,S,X,1,2,1,1,1,1,2,0
103,H,R,X,1,2,1,1,2,1,2,0
104,H,S,X,2,2,1,1,2,1,2,0
105,B,X,O,1,3,1,1,2,1,2,0
106,C,S,I,1,2,1,2,2,1,2,0
107,H,S,X,1,1,1,2,2,1,2,1
108,D,K,C,1,3,3,2,2,1,2,1
109,D,A,I,2,2,3,2,2,1,2,0
110,H,S,X,1,2,1,1,2,1,2,0
111,B,X,O,1,2,1,1,2,1,1,0
112,C,S,I,2,3,3,1,2,1,1,1
113,C,S,O,1,1,1,1,2,1,2,1
114,H,K,X,2,2,3,2,2,1,2,0
115,D,K,I,1,3,1,2,2,1,2,0
116,H,A,X,1,3,1,1,2,1,2,0
117,C,R,O,1,1,1,1,2,1,2,0
118,C,R,O,1,3,1,1,2,1,2,0
119,B,X,O,1,3,1,1,2,1,1,0
120,B,X,O,1,3,1,1,2,1,1,1
121,H,K,X,1,3,1,2,2,1,2,0
122,C,K,I,1,3,1,2,2,1,2,0
123,H,S,X,1,2,1,1,2,1,2,0
124,B,X,O,1,3,1,1,2,1,1,0
125,C,R,I,2,3,3,1,2,1,2,0
126,H,R,X,1,2,3,1,2,1,2,0
127,B,X,O,1,3,1,1,2,1,1,0
128,D,R,O,1,3,1,1,2,1,2,0
129,H,K,X,1,2,1,2,2,1,2,0
130,D,K,I,1,2,1,2,2,1,2,0
131,H,H,X,1,3,1,1,2,1,2,0
